Drug_Name,Reason,Description
Nurokind More RF Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Nurostar Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Nurostar Plus Capsule 6'SNurostar Plus Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Omnim Syrup 60mlOmnim Syrup 100mlOmnim 200mg Tablet 10'SOmnim Suspension 150mlOmnim Syrup 200mlOmnim Drops 15mlOmnim 100mg Tablet 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Omnim XT Tablet 10'SOmnim XT Drops 15mlOmnim XT Suspension 150ml,Anaemia,symptomatic anaemia in adult cancer patients
Optifer NXT Syrup 150ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Optimum Tablet 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Orofer Capsule 10'SOrofer Syrup 150mlOrofer S 200mg Injection 10mlOrofer S Injection 2.5mlOrofer Fcm Injection 10mlOrofer S 100mg Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients
Orofer XT Tablet 10'SOrofer XT Tablet 30'SOrofer XT Oral Drop 15mlOrofer XT Suspension 150ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Orofer XT Total Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
Ovafuze Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Ozored Suspension 150ml,Anaemia,treatment for the treatment of diarrhea and constipation
P B Forte Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Panlord D Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Patchex Tablet 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
Phobin XT Syrup 50ml,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Phosfomin Iron Syrup 150ml,Anaemia,symptomatic anaemia in adult cancer patients
Phosfomin Iron Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Phosfomin XT Tablet 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
PP26 Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Pravy 5mg Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Pregnacare Tablet 10'SPregnacare Forte Capsule 30'S,Anaemia,prevent iron and folic acid deficiency
Pregnacare Forte + Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
Premence Plus Capsule 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
Prexan Liquid 150mlPrexan Tablet 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Qron Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients
R B Tone Syrup 200mlR B Tone Drops 15mlR B Tone Capsule 15'SR B Tone Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
R B Tone XT Tablet 10'SR B Tone XT Drops 15ml,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Radifol 5mg Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Raricap 100mg Tablet 10'SRaricap L Suspension 150mlRaricap Tablet 40'SRaricap Combi Tablet 30'SRaricap Forte Tablet 30'SRaricap Drops 30mlRaricap L Syrup 100ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Raricap M Tablet 30'S,Anaemia,prevent iron and folic acid deficiency
Raricap S 20mg Injection 2.5mlRaricap S 100mg Injection 5mlRARICAP S 50mg Injection 2.5ml,Anaemia,treatment for the treatment of diarrhea and constipation
Raricap ZN Tablet 30'S,Anaemia,treatment for the treatment of diarrhea and constipation
Rave 3 Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Raviron XT Tablet 10'SRaviron XT Suspension 150mlRaviron XT Drops 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
REDATE Syrup 150ml,Anaemia,treatment for the treatment of diarrhea and constipation
REDATE XT Tablet 10's,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Redhaem Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Redifer Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Redihealth Syrup 150mlRedihealth Syrup 200ml,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Redin Z Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Refil Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
REFOL S 100mg Injection 5ml,Anaemia,prevent iron and folic acid deficiency
REFOL XT Syrup 150mlREFOL XT Tablet 10's,Anaemia,treatment for the treatment of diarrhea and constipation
Renerve 24 Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Renocel 2000IU Injection 1'SRenocel 10000IU Injection 1'SRenocel 3000IU Injection 1'S,Anaemia,treatment for the treatment of diarrhea and constipation
Revofer 500mg Injection 10ml,Anaemia,treatment for the treatment of diarrhea and constipation
Richar 30mg/550mcg Liquid 150mlRichar XT Injection 5mlRichar XT Suspension 150mlRichar Capsule 30'S,Anaemia,treatment for the treatment of diarrhea and constipation
Richar CR 75mg Tablet 10'SRichar CR 100mg Tablet 10'SRichar CR Syrup 150ml,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Richar XT Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Roseiron Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Roselina Drops 15ml,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Roseus Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients
Rosita XT 1.50/100mg Tablet 10'SRosita XT Syrup 150ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Rozifer Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
Rozirich Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Rubired Drops 15mlRubired Syrup 150mlRubired S Injection 5mlRubired Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Rubragran 100/1.5mg Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
SABRICH XT Syrup 200ml,Anaemia,treatment for the treatment of diarrhea and constipation
SFE Drops 15mlSFE 50mg Injection 1mlSFE Syrup 150ml,Anaemia,treatment for the treatment of diarrhea and constipation
Sheric Capsule 15'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Softeron Capsule 15'SSofteron Z Capsule 15'S,Anaemia,symptomatic anaemia in adult cancer patients
Solfe AZ Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Solufer Tablet 10'SSolufer Syrup 150mlSolufer XT 2.5ml Injection 2.5mlSolufer Drops 15ml,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Solufer XT 50mg Injection 2.5mlSolufer XT 100/1.5mg Tablet 10'SSolufer XT Drops 15mlSolufer XT Suspension 150mlSolufer XT 100mg Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients
Soyamin 22 Liquid 200ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Sreyas Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
Suez Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
Superfe Syrup 100ml,Anaemia,treatment for the treatment of diarrhea and constipation
Suprafer Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Suprafer Z Tablet 15'S,Anaemia,treatment for the treatment of diarrhea and constipation
Sysfol Tablet 30'S,Anaemia,treatment for the treatment of diarrhea and constipation
Tefol Z Capsule 15's,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Thyrogain Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Thyrowel Capsule 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Tofe CI Capsule 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Tofe CI 100mg Capsule 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Tonoferon Syrup 200mlTonoferon Drops 15ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Tonoferon Paediatric Syrup 100ml,Anaemia,prevent iron and folic acid deficiency
Tonoferon SF Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Tonofolic Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Tonofolic DS Tablet 30'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Tonofolic XT Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Tonofolic Z Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
TOPRED Tablet 10's,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Trifer Tablet 15'STrifer Syrup 150mlTrifer Drops 15ml,Anaemia,symptomatic anaemia in adult cancer patients
Trophox Powder 200gm,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Troynuron SR Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
Tulifer Syrup 150mlTulifer Drops 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
Ultiron TR Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
UNIRAUT 100mg Injection 1's,Anaemia,treatment for the treatment of diarrhea and constipation
Uprise XT Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Vacfol 5Mg Tablet 30's,Anaemia,treatment for the treatment of diarrhea and constipation
Valenzia Tablet 10'SValenzia 100/1.5mg Tablet 15'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Vegefer Syrup 150mlVegefer Drops 30ml,Anaemia,symptomatic anaemia in adult cancer patients
Vitafol 5mg Tablet 30'SVitafol 5mg Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Vitamon Syrup 200mlVitamon Syrup 100ml,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
VITAROSE 50mg Injection 2.5mlVITAROSE 100mg Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients
Vitcofer Drops 15ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Vitcofer Syp Syrup 100ml,Anaemia,prevent iron and folic acid deficiency
Vitcofol Syrup 200mlVitcofol Com Syrup 200mlVitcofol Capsule 30'SVitcofol Com Syrup 180mlVitcofol Com Syrup 150ml,Anaemia,treatment for the treatment of diarrhea and constipation
Vitcofol S 100mg Injection 5ml,Anaemia,treatment for the treatment of diarrhea and constipation
Winofit GX Softgel 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Wofer Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Wofer XT Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Wofolic Tablet 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Wowmino Capsule 15'S,Anaemia,symptomatic anaemia in adult cancer patients
Xoom Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Zebita Xt Tablet 15's,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Zemcifer 20mg Injection 2.5mlZemcifer 100mg Injection 5ml,Anaemia,symptomatic anaemia in adult cancer patients
Zemcifer XT Tablet 10'SZemcifer XT Drops 15ml,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Zemicfer XT Tablet 10'S,Anaemia,prevent iron and folic acid deficiency
Zest Capsule 30'SZest Oral Drops 15mlZest Syrup 200mlZest Choco Powder 200gm,Anaemia,treatment for the treatment of diarrhea and constipation
Zibifol FA 100/1.5mg Tablet 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Ziferrin Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Ziferrin TR Capsule 10'S,Anaemia,treatment for the treatment of diarrhea and constipation
Zifol XT 100/1.1mg Tablet 6'SZifol XT Suspension 200mlZifol XT Tablet 10'SZifol XT Drops 15ml,Anaemia,treatment for the treatment of diarrhea and constipation
Zincofer Nurture Tablet 30'SZincofer Tablet 10'SZincofer Liquid 200mlZincofer XT Tablet 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
Zurifer XT Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients
Zyfolic 5mg Tablet 10'S,Anaemia,symptomatic anaemia in adult cancer patients with non-bone marrow cancers (non-myeloid malignancies) who are receiving chemotherapy
Zyfoly 5mg Tablet 10'S,Anaemia,symptomatic anaemia that is associated with chronic renal failure (kidney failure) in adults and children
5 Mono 10mg Tablet 10'S5 Mono 20mg Tablet 10'S,Angina,soothen arrhythmia (uneven heartbeat)
5 Mono SR 30mg Tablet 10'S,Angina,soothen arrhythmia (uneven heartbeat)
Adenoz 6Mg Injection 2ml,Angina,soothen arrhythmia (uneven heartbeat)
Adilin 10mg Tablet 10'SAdilin 20mg Tablet 10'SAdilin 40mg Tablet 10'S,Angina,soothen arrhythmia (uneven heartbeat)
Adneon 6mg Injection 2ml,Angina,soothen arrhythmia (uneven heartbeat)
ADP 5mg Tablet 10'S,Angina,prevent angina pectoris
Alnitro 6.4mg Tablet 25'SALNITRO 2.6MG TABLET 25'SALNITRO 2.6mg Tablet 30's,Angina,prevent angina pectoris
Amanat 5mg Tablet 10,Angina,prevent angina pectoris
AMDEPIN DUO Tablet 10's,Angina,prevent angina pectoris
Amfirst 10mg Tablet 10'S,Angina,prevent angina pectoris
Amiur H 2.5/25mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Amlin 5mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Amlodac 5mg Tablet 30'SAmlodac 10mg Tablet 30'SAmlodac 2.5mg Tablet 30'S,Angina,prevent angina pectoris and pain in chest
Amlodepin 5mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Amlodil 10mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Amlokos AT 5/25mg Tablet 10'S,Angina,prevent angina pectoris
Amlopure 5mg Tablet 10'S,Angina,prevent angina pectoris
Amlorace 5mg Tablet 10'S,Angina,prevent angina pectoris
Amlostat 5mg Tablet 10'S,Angina,prevent angina pectoris
Amlosun 10 mg Tablet 10'S,Angina,prevent angina pectoris
Amlosure AT Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Amlovas S 2.5mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
AMLOVEL 5mg Tablet 10'sAMLOVEL 2.5mg Tablet 10's,Angina,prevent angina pectoris and pain in chest
Amlovin E 5mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Angicam 2.5mg Tablet 15'S,Angina,prevent angina pectoris and pain in chest,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Corflo 10mg Tablet 20'SCorflo 5mg Tablet 10'S,Angina,prevent angina pectoris
Corvadil 10mg Tablet 10'S,Angina,prevent angina pectoris
Corvela Tablet 10'S,Angina,prevent angina pectoris
Crema 10mg Tablet 10'S,Angina,prevent angina pectoris
Cytogard 20mg Tablet 10'S,Angina,prevent angina pectoris
Cytogard OD 60mg Capsule 10'S,Angina,prevent angina pectoris and pain in chest
CZAR AM Tablet 10's,Angina,prevent angina pectoris and pain in chest
Dilcal 30mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Dilcardia SR 90mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Dilcontin XL 180mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Indap 2.5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Indapamide SR 1.5mg Tablet 10'S,Angina,prevent angina pectoris
Ionozem 30mg Tablet 10'S,Angina,prevent angina pectoris
Irban 5mg Tablet 10'SIrban 7.5mg Tablet 10'S,Angina,prevent angina pectoris
Isbid 20mg Tablet 10'SIsbid 10mg Tablet 10'S,Angina,prevent angina pectoris
Iski 30mg Tablet 10'SIski 60mg Tablet 10'S,Angina,prevent angina pectoris
Iski SR 90mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Ismorin Tablet 10'SIsmo 10mg Tablet 30'SIsmo 10mg Tablet 15'SIsmo 20mg Tablet 15'SIsmo 20mg Tablet 30'S,Angina,prevent angina pectoris and pain in chest
Ismo Retard 40mg Tablet 7'S,Angina,prevent angina pectoris and pain in chest
Ismorin 60/75mg Capsule 10'S,Angina,prevent angina pectoris and pain in chest
Isobax 60mg Tablet 30'SIsobax 30mg Tablet 10'SIsobax 60mg Tablet 10'SIsobax OD 30mg Tablet 30'S,Angina,prevent angina pectoris and pain in chest
Isocor 20mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
ISOLAZINE Tablet 15'sIsolazine Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isonit 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isonorm 20mg Tablet 10'SIsonorm 30mg Tablet 10'SIsonorm SR 60mg Tablet 10'SIsonorm 10mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isonorm SR 30mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isopreg 10mg Injection 2ml,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isopreg SR Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isordil 10mg Tablet 10'SIsordil 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isorus 20/37.5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isowok 40mg Tablet 30'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Isowok SR Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivabeat 7.5mg Tablet 10'SIvabeat 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivabid 7.5mg Tablet 10'SIvabid 5mg Tablet 10'SIvabid 5mg Tablet 14'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivables 7.5mg Tablet 10'SIvables 5mg Tablet 15'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivabrad 5mg Tablet 10'SIvabrad 7.5mg Tablet 15'SIvabrad 5mg Tablet 15'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivabratco 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivamac 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivanode 7.5mg Tablet 10'SIvanode 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivapace 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Ivazine 7.5mg Tablet 10'SIvazine 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Iverzac 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
K Ion 10mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
KADRIN SR 60mg Tablet 10's,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Kaizem CD 120mg Capsule 7'SKaizem CD 90mg Capsule 7'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Kcor 10mg Tablet 20'SKcor 5mg Tablet 20'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Korandil 10mg Tablet 10'SKorandil 48mg Injection 1Korandil 5mg Tablet 10'SKorandil OD 20mg Tablet 10,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Korandil OD 10mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Lasix HD 500mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
LEONITE 2.6mg Tablet 10'sLEONITE 6.4mg Tablet 10's,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
LHD 10mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Lintam At Tablet 10's,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Mela 2.5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Metagard 60mg Tablet 10'SMetagard CR 35mg Tablet 10'SMetagard Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Metagard CR 60mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Meto AM 50mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Metozide 5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Milicor 10mg Injection 10ml,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monicor 20mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monit 20mg Tablet 10'SMonit 20mg Tablet 15'SMONIT GTN 6.4MG TABLET 25'SMonit SR 30mg Tablet 10'SMonit 10mg Tablet 15'SMonit SR 30mg Tablet 15'SMonit 10mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monit AS 60/75mg Capsule 10'SMonit AS 30/75mg Capsule 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monit AS G 30/150mg Capsule 10'SMonit AS G 60/150mg Capsule 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monit AS SR 30/75mg Capsule 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monit Gtn 6.4mg Tablet 30'SMonit Gtn 2.6Mg Tablet 60'sMonit Gtn 2.6mg Tablet 30'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monit OD Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monit SR 60mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Mono 30mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Mono Isordil 20mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Mono Isordil SR 60mg Capsule 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Monobid 20mg Tablet 10'S,Angina,prevent angina pectoris
Monocontin 25mg Tablet 7'SMonocontin 50mg Tablet 7'SMonocontin 25mg Tablet 10'S,Angina,prevent angina pectoris
Monosorbex 20mg Tablet 20'S,Angina,prevent angina pectoris
Monosorbitrate 10mg Tablet 10'SMONOSORBITRATE 20mg Tablet 10's,Angina,prevent angina pectoris
MONOSORBITRATE OD 30MG TABLET 10'S,Angina,prevent angina pectoris
Monosprin 60mg Capsule 10'SMonosprin 30mg Capsule 10'S,Angina,prevent angina pectoris and pain in chest
Monosprin DS 30/150mg Tablet 10'SMonosprin DS 60/150mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Monotrate OD 50mg Tablet 10'SMonotrate 20mg Tablet 10'SMonotrate 40mg Tablet 10'SMonotrate SR 60mg Tablet 10'SMonotrate 10mg Tablet 10'SMonotrate SR 30mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Monotrate OD 25mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Monotus 20mg Tablet 10'SMonotus 10mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Nitrus CR 2.6mg Tablet 30'S,Angina,prevent angina pectoris
NITZO 2.6mg Tablet 50'sNITZO 6.4mg Tablet 50's,Angina,prevent angina pectoris
Norad Injection 2ml,Angina,prevent angina pectoris
Noradria 2mg Injection 2ml,Angina,prevent angina pectoris
Nubimax 250mg Injection 1'S,Angina,prevent angina pectoris
Nucoril 10mg Tablet 10'SNucoril 5mg Tablet 30'SNucoril OD Tablet 20'S,Angina,prevent angina pectoris and pain in chest
Nyfe 2.6Mg Tablet 25'sNyfe 6.4Mg Tablet 25's,Angina,prevent angina pectoris and pain in chest
Odipril 5mg Capsule 15'S,Angina,prevent angina pectoris and pain in chest
OLSONG CT 20mg Tablet 10'sOLSONG CT 40mg Tablet 10's,Angina,prevent angina pectoris and pain in chest
OLSONG TRIO Tablet 10's,Angina,prevent angina pectoris and pain in chest
Planep T 20mg Kit 10+10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Plegiocard Injection 20ml,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Plendil 2.5mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Prasusafe 10mg Tablet 10'S,Angina,prevents angina and works by widening the blood vessels in your heart allow an increased amount of blood flow areas which need it
Trimacontin 60mg Tablet 10'STrimacontin 35mg Tablet 10'S,Angina,prevent angina pectoris
Trimezen MR 35mg Tablet 10'S,Angina,prevent angina pectoris
Trived 20mg Tablet 10'S,Angina,prevent angina pectoris
Trived SR 60mg Tablet 10'STrived SR 35mg Tablet 10'S,Angina,prevent angina pectoris
Trivedon MR Tablet 10'STrivedon 20mg Tablet 10'S,Angina,prevent angina pectoris
Trizid 20mg Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Trizid SR Tablet 10'S,Angina,prevent angina pectoris and pain in chest
Ubinext LC Tablet 10'S,Angina,prevent angina pectoris and pain in chest
